zone,entity,sub_entity,raw_filename,file_size
Asia,CN-007,CHLOE,efa7b071/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT15/Error/ErrorHistory_26231.log/20200704_002335_897.zip,802056
Asia,CN-007,CHLOE,6cf2d230/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT15/Error/ErrorHistory_26231.log/20200703_213122_779.zip,802009
Asia,CN-007,CHLOE,0f3b0358/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT15/Error/ErrorHistory_26231.log/20200703_200036_728.zip,801958
Asia,CN-007,CHLOE,d1f1c1d0/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT15/Error/ErrorHistory_26231.log/20200703_192110_275.zip,801895
Asia,CN-007,CHLOE,c2b4ed3a/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT15/Error/ErrorHistory_26231.log/20200703_182349_597.zip,801787
Asia,CN-007,CHLOE,72f51e92/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT15/Error/ErrorHistory_26231.log/20200703_175126_233.zip,801753
Asia,CN-007,CHLOE,a55959aa/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200705_113900_441.zip,671219
Asia,CN-007,CHLOE,00b820a1/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200705_064231_051.zip,671178
Asia,CN-007,CHLOE,51f2b4d5/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200705_060928_690.zip,671156
Asia,CN-007,CHLOE,2fad338b/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200705_044058_665.zip,671112
Asia,CN-007,CHLOE,6ddec38e/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200705_034819_062.zip,671100
Asia,CN-007,CHLOE,1d0659f5/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200705_030837_597.zip,671088
Asia,CN-007,CHLOE,6a01d6af/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200705_020222_822.zip,671055
Asia,CN-007,CHLOE,6c0bc38b/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_232149_870.zip,671010
Asia,CN-007,CHLOE,95ce3498/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_231735_835.zip,670988
Asia,CN-007,CHLOE,f18a562d/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_220052_957.zip,670952
Asia,CN-007,CHLOE,64de7476/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_211417_427.zip,670910
Asia,CN-007,CHLOE,7e689a98/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_200539_626.zip,670855
Asia,CN-007,CHLOE,ee98ad37/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_185204_747.zip,670813
Asia,CN-007,CHLOE,a8d53a9e/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_180803_249.zip,670768
Asia,CN-007,CHLOE,ae375c15/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_171251_607.zip,670733
Asia,CN-007,CHLOE,fb5a8614/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_161720_017.zip,670701
Asia,CN-007,CHLOE,65130e53/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_151559_244.zip,670686
Asia,CN-007,CHLOE,94ef51e5/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_133650_099.zip,670651
Asia,CN-007,CHLOE,71a89129/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_113119_691.zip,670600
Asia,CN-007,CHLOE,f9242bb6/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_111208_426.zip,670579
Asia,CN-007,CHLOE,88a175b6/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_101337_738.zip,670537
Asia,CN-007,CHLOE,93c24cf7/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_090158_896.zip,670506
Asia,CN-007,CHLOE,871dd658/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_081824_387.zip,670465
Asia,CN-007,CHLOE,a8a1f21f/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_062907_138.zip,670445
Asia,CN-007,CHLOE,0931ddd9/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_061346_945.zip,670422
Asia,CN-007,CHLOE,f2da9fb5/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_051135_229.zip,670333
Asia,CN-007,CHLOE,fd3306f0/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_032827_041.zip,670241
Asia,CN-007,CHLOE,e0945497/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_030128_734.zip,670207
Asia,CN-007,CHLOE,3ec61d72/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200704_001403_810.zip,670153
Asia,CN-007,CHLOE,34cf6095/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200703_222747_611.zip,670119
Asia,CN-007,CHLOE,7df6ecda/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200703_220418_305.zip,670106
Asia,CN-007,CHLOE,4ce4120d/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200703_203602_289.zip,669959
Asia,CN-007,CHLOE,3870beac/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200703_201336_024.zip,669898
Asia,CN-007,CHLOE,b7c29217/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200703_184148_965.zip,669852
Asia,CN-007,CHLOE,df516e56/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200703_180556_530.zip,669813
Asia,CN-007,CHLOE,e6d4db98/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT04/Error/ErrorHistory_26580.log/20200703_163747_555.zip,669792
Asia,CN-007,CHLOE,814d9674/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_210952_116.zip,577117
Asia,CN-007,CHLOE,fa89a4f4/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_201401_438.zip,577095
Asia,CN-007,CHLOE,71577d6c/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_184245_393.zip,577019
Asia,CN-007,CHLOE,62037e71/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_182459_160.zip,576996
Asia,CN-007,CHLOE,fcad392f/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_170310_262.zip,576952
Asia,CN-007,CHLOE,5c5f80c4/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_161705_726.zip,576912
Asia,CN-007,CHLOE,74de6599/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_134417_954.zip,576891
Asia,CN-007,CHLOE,d380b5af/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_130253_521.zip,576870
Asia,CN-007,CHLOE,cf69890e/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_105823_079.zip,576858
Asia,CN-007,CHLOE,e78a3b09/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_100540_462.zip,576756
Asia,CN-007,CHLOE,78e04b00/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_082908_363.zip,576704
Asia,CN-007,CHLOE,570e4fb0/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_082250_279.zip,576672
Asia,CN-007,CHLOE,99c44b16/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_071458_495.zip,576609
Asia,CN-007,CHLOE,46db333a/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_062724_961.zip,576564
Asia,CN-007,CHLOE,5937199b/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_052515_248.zip,576522
Asia,CN-007,CHLOE,5db8cd31/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_042336_550.zip,576466
Asia,CN-007,CHLOE,318df7f5/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_031345_754.zip,576410
Asia,CN-007,CHLOE,8fb9ccba/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_020912_995.zip,576350
Asia,CN-007,CHLOE,50d5b50c/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_011452_376.zip,576305
Asia,CN-007,CHLOE,e000a799/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200705_001509_685.zip,576213
Asia,CN-007,CHLOE,c8c0e2ce/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_230048_790.zip,576128
Asia,CN-007,CHLOE,85fb5277/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_221608_296.zip,576087
Asia,CN-007,CHLOE,085c0538/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_212820_703.zip,576045
Asia,CN-007,CHLOE,c00804d4/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_201720_887.zip,576011
Asia,CN-007,CHLOE,7e10829c/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_192246_249.zip,575978
Asia,CN-007,CHLOE,6dd39ef2/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_181250_455.zip,575937
Asia,CN-007,CHLOE,93537ba6/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_172804_924.zip,575897
Asia,CN-007,CHLOE,760c52f9/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_154925_772.zip,575845
Asia,CN-007,CHLOE,4ae8229b/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_152746_544.zip,575825
Asia,CN-007,CHLOE,6be70219/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_140541_603.zip,575779
Asia,CN-007,CHLOE,7512e30b/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_132058_074.zip,575767
Asia,CN-007,CHLOE,45dcb29a/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_122548_425.zip,575716
Asia,CN-007,CHLOE,75b3a5f2/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_112802_791.zip,575624
Asia,CN-007,CHLOE,419dec8a/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_102653_075.zip,575556
Asia,CN-007,CHLOE,8c235121/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_092249_338.zip,575523
Asia,CN-007,CHLOE,794f3164/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_082504_736.zip,575513
Asia,CN-007,CHLOE,408c9121/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_071458_878.zip,575397
Asia,CN-007,CHLOE,33a2ea38/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_062701_320.zip,575338
Asia,CN-007,CHLOE,e4358376/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_050526_382.zip,575284
Asia,CN-007,CHLOE,28d39d80/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_033308_318.zip,575274
Asia,CN-007,CHLOE,dc8b4892/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_032541_235.zip,575244
Asia,CN-007,CHLOE,a121b1fa/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_020106_248.zip,575183
Asia,CN-007,CHLOE,f6d6bcc4/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_010815_639.zip,575122
Asia,CN-007,CHLOE,3600c612/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200704_002827_194.zip,575049
Asia,CN-007,CHLOE,dbf11c07/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200703_225042_001.zip,575006
Asia,CN-007,CHLOE,948241d5/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200703_222135_700.zip,574963
Asia,CN-007,CHLOE,81a41060/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200703_211844_948.zip,574907
Asia,CN-007,CHLOE,7596bece/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200703_200028_074.zip,574842
Asia,CN-007,CHLOE,fd662ba2/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200703_192442_629.zip,574672
Asia,CN-007,CHLOE,711cd8c8/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200703_181427_848.zip,574597
Asia,CN-007,CHLOE,c61ac07a/Asia/CHLOE/2020/07/03/Manufacturing/VFT-orbit/VFT12/Error/ErrorHistory_26121.log/20200703_172656_288.zip,574587
Asia,CN-007,CHLOE,b7b328df/Asia/CHLOE/2020/07/06/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200706_032417_564.zip,572777
Asia,CN-007,CHLOE,2ef8aa80/Asia/CHLOE/2020/07/06/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200706_041856_564.zip,572777
Asia,CN-007,CHLOE,8bfe889c/Asia/CHLOE/2020/07/06/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200706_021227_564.zip,572764
Asia,CN-007,CHLOE,a1cd316e/Asia/CHLOE/2020/07/06/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200706_005010_564.zip,572743
Asia,CN-007,CHLOE,2a718355/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_222012_564.zip,572698
Asia,CN-007,CHLOE,c1f70573/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_223352_564.zip,572698
Asia,CN-007,CHLOE,98b6c7b9/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_212006_564.zip,572676
Asia,CN-007,CHLOE,a65f16d2/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_201120_564.zip,572621
Asia,CN-007,CHLOE,3fe5abfd/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_185620_565.zip,572596
Asia,CN-007,CHLOE,c928434b/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_180915_565.zip,572573
Asia,CN-007,CHLOE,5c07d4c1/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_164439_564.zip,572552
Asia,CN-007,CHLOE,bbc9707a/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_153003_564.zip,572518
Asia,CN-007,CHLOE,d07a1598/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_150020_564.zip,572496
Asia,CN-007,CHLOE,f795d4fe/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_141027_565.zip,572463
Asia,CN-007,CHLOE,64f276b9/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_125524_564.zip,572402
Asia,CN-007,CHLOE,9b3e1f57/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_122016_572.zip,572367
Asia,CN-007,CHLOE,33b9811e/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_105413_902.zip,572328
Asia,CN-007,CHLOE,57198bf4/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_100252_564.zip,572246
Asia,CN-007,CHLOE,63a24f3e/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_084048_564.zip,572225
Asia,CN-007,CHLOE,53cf1a62/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_074855_565.zip,572145
Asia,CN-007,CHLOE,9ab08945/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_070723_564.zip,572120
Asia,CN-007,CHLOE,13af8f41/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_062304_564.zip,572092
Asia,CN-007,CHLOE,6788a544/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_044729_564.zip,572049
Asia,CN-007,CHLOE,9f3320a8/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_033309_768.zip,572037
Asia,CN-007,CHLOE,3c6fecdd/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_032314_564.zip,572001
Asia,CN-007,CHLOE,e8d2b258/Asia/CHLOE/2020/07/05/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200705_021221_564.zip,571979
Asia,CN-007,CHLOE,ca546634/Asia/CHLOE/2020/07/04/Manufacturing/VFT-orbit/VFT16/Error/ErrorHistory_26707.log/20200704_221052_564.zip,571789
